code;name;side;city;type;x;y
010_A;010_ул К.Маркса, 124, призматрон;А1, А2, А3;Ижевск;Призматрон;56.83336;53.206618
010_B;010_ул К.Маркса, 124;Б;Ижевск;Билборд;56.83336;53.206618
011_A;"011_ул Кирова, 74, АЗС ""Газпром"", призматрон";А1, А2, А3;Ижевск;Призматрон;56.861052;53.189207
011_B;"011_ул Кирова, 74, АЗС ""Газпром""";Б;Ижевск;Билборд;56.861052;53.189207
012_A;"012_ул 10 лет Октября, 91, автосалон ""Мазда""";А;Ижевск;Билборд;56.870492;53.264965
012_B;"012_ул 10 лет Октября, 91, автосалон ""Мазда""";Б;Ижевск;Билборд;56.870492;53.264965
013_A;013_ул Удмуртская, 300, призматрон;А1, А2, А3;Ижевск;Призматрон;56.869027;53.223159
013_B;013_ул Удмуртская, 300;Б;Ижевск;Билборд;56.869027;53.223159
014_A;"014_ул 10 лет Октября, 89, ЖК ""Эверест""";А;Ижевск;Билборд;56.870912;53.261383
014_B;"014_ул 10 лет Октября, 89, ЖК ""Эверест""";Б;Ижевск;Билборд;56.870912;53.261383
015_A;015_ул 40 лет Победы, пересечение с ул. Т. Барамзиной,6;А;Ижевск;Билборд;56.86453;53.277693
015_B;015_ул 40 лет Победы, пересечение с ул. Т. Барамзиной,6;Б;Ижевск;Билборд;56.86453;53.277693
016_A;016_ул Орджоникидзе, 13;А;Ижевск;Билборд;56.835116;53.252777
016_B;016_ул Орджоникидзе, 13;Б;Ижевск;Билборд;56.835116;53.252777
017_AA;017_ул Холмогорова, 17, цифровой билборд;АА;Ижевск;Цифровой билборд;56.875737;53.212115
017_B;017_ул Холмогорова, 17, призматрон;Б1, Б2, Б3;Ижевск;Призматрон;56.875737;53.212115
018_A1;018_ул 9 Января, 259;А1;Ижевск;Билборд;56.884658;53.258559
018_A2;018_ул 9 Января, 259;А2;Ижевск;Билборд;56.884658;53.258559
019_A;"019_Якшур-Бодьинский тракт, 1/5, 7 км , АЗС ""Лукойл""";А;Ижевск;Билборд;56.892043;53.154345
019_B;"019_Якшур-Бодьинский тракт, 1/5, 7 км , АЗС ""Лукойл""";Б;Ижевск;Билборд;56.892043;53.154345
020_A;020_ул Союзная, 85;А;Ижевск;Билборд;56.850724;53.30549
020_B;020_ул Союзная, 85;Б;Ижевск;Билборд;56.850724;53.30549
021_A;021_ул Пушкинская, 284а / ул. 10 лет Октября, призматрон;А3, А4, А5;Ижевск;Призматрон;56.871511;53.208191
021_A2;021_ул Пушкинская, 284а / ул. 10 лет Октября;А2;Ижевск;Билборд;56.871511;53.208191
021_AA;021_ул Пушкинская, 284а / ул. 10 лет Октября, цифровой билборд;АА;Ижевск;Цифровой билборд;56.871511;53.208191
022_AA1;"022_ул 10 лет Октября, 32а, ТЦ ""Эльгрин"", ТЦ ""Омега"", цифровой билборд";АА1;Ижевск;Цифровой билборд;56.871937;53.230351
022_AA2;"022_ул 10 лет Октября, 32а, ТЦ ""Эльгрин"", ТЦ ""Омега"", цифровой билборд";АА2;Ижевск;Цифровой билборд;56.871937;53.230351
023_AA;023_ул Удмуртская, 261 / ул. Сакко и Ванцетти, цифровой билборд;АА;Ижевск;Цифровой билборд;56.873723;53.222289
023_B;023_ул Удмуртская, 261 пересечение с ул. Сакко и Ванцетти;Б;Ижевск;Билборд;56.873723;53.222289
024_A;"024_ул 10 лет Октября, 91, автосалон ""Мазда"", №2";А;Ижевск;Билборд;56.870127;53.268367
024_B;"024_ул 10 лет Октября, 91, автосалон ""Мазда"", №2";Б;Ижевск;Билборд;56.870127;53.268367
025_AA;"025_ ул Ленина, 138, ТЦ ""КИТ"", цифровой билборд";АА;Ижевск;Цифровой билборд;56.846399;53.289796
025_B;"025_ ул Ленина, 138, ТЦ ""КИТ""";Б;Ижевск;Билборд;56.846399;53.289796
026_A;026_ул Удмуртская, напротив д.271;А;Ижевск;Билборд;56.879442;53.223956
026_B;026_ул Удмуртская, напротив д.271;Б;Ижевск;Билборд;56.879442;53.223956
027_A1;027_ул Ленина, 110;А1;Ижевск;Билборд;56.848645;53.260178
027_A2;027_ул Ленина, 110;А2;Ижевск;Билборд;56.848645;53.260178
